survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs
PDS 2020,Division,Punjab,Faisalabad,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,11892660,8063399,67.8,10450
PDS 2020,Division,Punjab,Gujranwala,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,12950562,9674704,74.7,12785
PDS 2020,Division,Punjab,Lahore,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,14464565,10572387,73.09,12893
PDS 2020,Division,Punjab,Multan,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,9814067,5905347,60.17,8644
PDS 2020,Division,Punjab,Rawalpindi,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,8118295,6363326,78.38,8129
PDS 2020,Division,Punjab,Sahiwal,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,5802863,3433959,59.18,5707
PDS 2020,Division,Punjab,Sargodha,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,6692312,3950125,59.02,6396
PDS 2020,Division,Sindh,Hyderabad,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,7612324,3045966,40.01,8220
PDS 2020,Division,Sindh,Karachi,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,12123110,8685791,71.65,12110
PDS 2020,Division,Sindh,Larkana,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,6198990,2413072,38.93,5241
PDS 2020,Division,Sindh,Mirpur Khas,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,3212598,1068823,33.27,2492
PDS 2020,Division,Sindh,Shaheed Benazirabad,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,3590981,1566796,43.63,3338
PDS 2020,Division,Sindh,Sukkur,NA,Education,Literacy rate (10 years and older),% of population 10+,pct,5832735,2853776,48.93,4155
PDS 2020,Division,Balochistan,Kalat,NA,Education,Ever attended school (10+),% of population 10+,pct,1749751,424478,24.26,4177
PDS 2020,Division,Balochistan,Mekran,NA,Education,Ever attended school (10+),% of population 10+,pct,1052460,318080,30.22,1669
PDS 2020,Division,Balochistan,Nasirabad,NA,Education,Ever attended school (10+),% of population 10+,pct,1135180,454108,40,2190
PDS 2020,Division,Balochistan,Quetta,NA,Education,Ever attended school (10+),% of population 10+,pct,3119037,1219033,39.08,3889
PDS 2020,Division,Balochistan,Rakhshan,NA,Education,Ever attended school (10+),% of population 10+,pct,271434,108164,39.85,551
PDS 2020,Division,Balochistan,Sibi,NA,Education,Ever attended school (10+),% of population 10+,pct,934331,334732,35.83,1715
PDS 2020,Division,Balochistan,Zhob,NA,Education,Ever attended school (10+),% of population 10+,pct,1158455,422318,36.46,2418
