survey,level,province,division,district,domain,indicator,unit,type,denom_pop,num_pop,value,n_obs,representative
PSLM 2019-20,Division,Sindh,Karachi,NA,Demographics,Households (extrapolated),households,pct,3794143,3794143,100,11530,Representative
PSLM 2019-20,Division,Sindh,Larkana,NA,Demographics,Households (extrapolated),households,pct,1097351,1097351,100,5160,Representative
PSLM 2019-20,Division,Sindh,Mirpur Khas,NA,Demographics,Households (extrapolated),households,pct,783821,783821,100,3196,Representative
PSLM 2019-20,Division,Sindh,Shaheed Benazirabad,NA,Demographics,Households (extrapolated),households,pct,897957,897957,100,3866,Representative
PSLM 2019-20,Division,Sindh,Sukkur,NA,Demographics,Households (extrapolated),households,pct,919234,919234,100,4511,Representative
PSLM 2019-20,District,Balochistan,Kalat,Awaran,Demographics,Population (extrapolated),persons,pct,98688,98688,100,1789,District-representative
PSLM 2019-20,District,Balochistan,Kalat,Kalat,Demographics,Population (extrapolated),persons,pct,144127,144127,100,3389,District-representative
PSLM 2019-20,District,Balochistan,Kalat,Khuzdar,Demographics,Population (extrapolated),persons,pct,484070,484070,100,4705,District-representative
PSLM 2019-20,District,Balochistan,Kalat,Lasbela,Demographics,Population (extrapolated),persons,pct,607842,607842,100,1452,District-representative
PSLM 2019-20,District,Balochistan,Kalat,Mastung,Demographics,Population (extrapolated),persons,pct,277812,277812,100,2630,District-representative
PSLM 2019-20,District,Balochistan,Kalat,Shaheed Sikandarabad,Demographics,Population (extrapolated),persons,pct,155354,155354,100,1351,District-representative
PSLM 2019-20,District,Balochistan,Loralai,Barkhan,Demographics,Population (extrapolated),persons,pct,239354,239354,100,2929,District-representative
PSLM 2019-20,District,Balochistan,Loralai,Duki,Demographics,Population (extrapolated),persons,pct,157839,157839,100,1246,District-representative
PSLM 2019-20,District,Balochistan,Loralai,Loralai,Demographics,Population (extrapolated),persons,pct,299132,299132,100,3165,District-representative
PSLM 2019-20,District,Balochistan,Mekran,Gwadar,Demographics,Population (extrapolated),persons,pct,216411,216411,100,2134,District-representative
PSLM 2019-20,District,Balochistan,Mekran,Kech,Demographics,Population (extrapolated),persons,pct,862021,862021,100,3700,District-representative
PSLM 2019-20,District,Balochistan,Nasirabad,Jaffarabad,Demographics,Population (extrapolated),persons,pct,495945,495945,100,3149,District-representative
PSLM 2019-20,District,Balochistan,Nasirabad,Kachhi,Demographics,Population (extrapolated),persons,pct,209055,209055,100,3073,District-representative
PSLM 2019-20,District,Balochistan,Nasirabad,Nasirabad,Demographics,Population (extrapolated),persons,pct,455680,455680,100,3040,District-representative
PSLM 2019-20,District,Balochistan,Nasirabad,Sohbatpur,Demographics,Population (extrapolated),persons,pct,183963,183963,100,945,District-representative
PSLM 2019-20,District,Balochistan,Quetta,Killa Abdullah,Demographics,Population (extrapolated),persons,pct,982862,982862,100,4555,District-representative
PSLM 2019-20,District,Balochistan,Quetta,Pishin,Demographics,Population (extrapolated),persons,pct,677816,677816,100,5497,District-representative
PSLM 2019-20,District,Balochistan,Quetta,Quetta,Demographics,Population (extrapolated),persons,pct,2369828,2369828,100,9996,District-representative
PSLM 2019-20,District,Balochistan,Rakhshan,Kharan,Demographics,Population (extrapolated),persons,pct,179700,179700,100,3541,District-representative
PSLM 2019-20,District,Balochistan,Rakhshan,Nushki,Demographics,Population (extrapolated),persons,pct,161101,161101,100,2797,District-representative
PSLM 2019-20,District,Balochistan,Rakhshan,Washuk,Demographics,Population (extrapolated),persons,pct,153379,153379,100,2880,District-representative
PSLM 2019-20,District,Balochistan,Sibi,Dera Bugti,Demographics,Population (extrapolated),persons,pct,264917,264917,100,2863,District-representative
PSLM 2019-20,District,Balochistan,Sibi,Harnai,Demographics,Population (extrapolated),persons,pct,91313,91313,100,2798,District-representative
PSLM 2019-20,District,Balochistan,Sibi,Kohlu,Demographics,Population (extrapolated),persons,pct,74159,74159,100,569,District-representative
PSLM 2019-20,District,Balochistan,Sibi,Sibi,Demographics,Population (extrapolated),persons,pct,315690,315690,100,3306,District-representative
PSLM 2019-20,District,Balochistan,Sibi,Ziarat,Demographics,Population (extrapolated),persons,pct,151072,151072,100,2439,District-representative
PSLM 2019-20,District,Balochistan,Zhob,Killa Saifullah,Demographics,Population (extrapolated),persons,pct,257203,257203,100,4483,District-representative
PSLM 2019-20,District,Balochistan,Zhob,Sherani,Demographics,Population (extrapolated),persons,pct,136962,136962,100,870,District-representative
PSLM 2019-20,District,Islamabad ICT,Islamabad,Islamabad,Demographics,Population (extrapolated),persons,pct,1621777,1621777,100,6634,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Bannu,Bannu,Demographics,Population (extrapolated),persons,pct,1201565,1201565,100,4669,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Bannu,Lakki Marwat,Demographics,Population (extrapolated),persons,pct,893922,893922,100,3427,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Bannu,North Waziristan,Demographics,Population (extrapolated),persons,pct,528851,528851,100,3201,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,Demographics,Population (extrapolated),persons,pct,1648456,1648456,100,5488,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Dera Ismail Khan,South Waziristan,Demographics,Population (extrapolated),persons,pct,599284,599284,100,2636,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Dera Ismail Khan,Tank,Demographics,Population (extrapolated),persons,pct,370551,370551,100,1829,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Hazara,Abbottabad,Demographics,Population (extrapolated),persons,pct,1323750,1323750,100,5242,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Hazara,Batagram,Demographics,Population (extrapolated),persons,pct,475457,475457,100,3829,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Hazara,Haripur,Demographics,Population (extrapolated),persons,pct,993439,993439,100,5908,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Hazara,Kohistan,Demographics,Population (extrapolated),persons,pct,899195,899195,100,7628,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Hazara,Mansehra,Demographics,Population (extrapolated),persons,pct,1397806,1397806,100,6213,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Hazara,Torghar,Demographics,Population (extrapolated),persons,pct,148235,148235,100,2365,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Kohat,Hangu,Demographics,Population (extrapolated),persons,pct,430418,430418,100,5395,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Kohat,Karak,Demographics,Population (extrapolated),persons,pct,561001,561001,100,2759,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Kohat,Kohat,Demographics,Population (extrapolated),persons,pct,1145628,1145628,100,5028,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Kohat,Kurram,Demographics,Population (extrapolated),persons,pct,499522,499522,100,4679,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Kohat,Orakzai,Demographics,Population (extrapolated),persons,pct,266534,266534,100,2623,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Malakand,Bajaur,Demographics,Population (extrapolated),persons,pct,925543,925543,100,7357,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Malakand,Buner,Demographics,Population (extrapolated),persons,pct,718461,718461,100,5225,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Malakand,Chitral,Demographics,Population (extrapolated),persons,pct,390808,390808,100,3674,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Malakand,Lower Dir,Demographics,Population (extrapolated),persons,pct,1245757,1245757,100,9834,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Malakand,Malakand,Demographics,Population (extrapolated),persons,pct,585143,585143,100,3271,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Malakand,Shangla,Demographics,Population (extrapolated),persons,pct,606166,606166,100,3064,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Malakand,Swat,Demographics,Population (extrapolated),persons,pct,2126014,2126014,100,6866,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Malakand,Upper Dir,Demographics,Population (extrapolated),persons,pct,746180,746180,100,7584,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Mardan,Mardan,Demographics,Population (extrapolated),persons,pct,2221132,2221132,100,10464,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Mardan,Swabi,Demographics,Population (extrapolated),persons,pct,1536619,1536619,100,8784,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Peshawar,Charsadda,Demographics,Population (extrapolated),persons,pct,1509811,1509811,100,9183,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Peshawar,Khyber,Demographics,Population (extrapolated),persons,pct,829753,829753,100,6143,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Peshawar,Mohmand,Demographics,Population (extrapolated),persons,pct,443803,443803,100,4264,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Peshawar,Nowshera,Demographics,Population (extrapolated),persons,pct,1325041,1325041,100,7940,District-representative
PSLM 2019-20,District,Khyber Pakhtunkhwa,Peshawar,Peshawar,Demographics,Population (extrapolated),persons,pct,4438345,4438345,100,19451,District-representative
PSLM 2019-20,District,Punjab,Bahawalpur,Bahawalnagar,Demographics,Population (extrapolated),persons,pct,2921780,2921780,100,14293,District-representative
PSLM 2019-20,District,Punjab,Bahawalpur,Bahawalpur,Demographics,Population (extrapolated),persons,pct,3614307,3614307,100,17834,District-representative
PSLM 2019-20,District,Punjab,Bahawalpur,Rahim Yar Khan,Demographics,Population (extrapolated),persons,pct,4679414,4679414,100,15298,District-representative
PSLM 2019-20,District,Punjab,Dera Ghazi Khan,Dera Ghazi Khan,Demographics,Population (extrapolated),persons,pct,2694284,2694284,100,9407,District-representative
PSLM 2019-20,District,Punjab,Dera Ghazi Khan,Layyah,Demographics,Population (extrapolated),persons,pct,1822524,1822524,100,3838,District-representative
PSLM 2019-20,District,Punjab,Dera Ghazi Khan,Muzaffargarh,Demographics,Population (extrapolated),persons,pct,4169873,4169873,100,17006,District-representative
PSLM 2019-20,District,Punjab,Dera Ghazi Khan,Rajanpur,Demographics,Population (extrapolated),persons,pct,1887239,1887239,100,7822,District-representative
PSLM 2019-20,District,Punjab,Faisalabad,Chiniot,Demographics,Population (extrapolated),persons,pct,1303350,1303350,100,6990,District-representative
PSLM 2019-20,District,Punjab,Faisalabad,Faisalabad,Demographics,Population (extrapolated),persons,pct,7084970,7084970,100,26364,District-representative
PSLM 2019-20,District,Punjab,Faisalabad,Jhang,Demographics,Population (extrapolated),persons,pct,2582382,2582382,100,12324,District-representative
PSLM 2019-20,District,Punjab,Faisalabad,Toba Tek Singh,Demographics,Population (extrapolated),persons,pct,1908479,1908479,100,9231,District-representative
PSLM 2019-20,District,Punjab,Gujranwala,Gujranwala,Demographics,Population (extrapolated),persons,pct,4480677,4480677,100,17474,District-representative
PSLM 2019-20,District,Punjab,Gujranwala,Gujrat,Demographics,Population (extrapolated),persons,pct,2209847,2209847,100,10829,District-representative
PSLM 2019-20,District,Punjab,Gujranwala,Hafizabad,Demographics,Population (extrapolated),persons,pct,889191,889191,100,6925,District-representative
PSLM 2019-20,District,Punjab,Gujranwala,Mandi Bahauddin,Demographics,Population (extrapolated),persons,pct,1381868,1381868,100,6119,District-representative
PSLM 2019-20,District,Punjab,Gujranwala,Narowal,Demographics,Population (extrapolated),persons,pct,1661740,1661740,100,9523,District-representative
PSLM 2019-20,District,Punjab,Gujranwala,Sialkot,Demographics,Population (extrapolated),persons,pct,3704290,3704290,100,10597,District-representative
PSLM 2019-20,District,Punjab,Lahore,Kasur,Demographics,Population (extrapolated),persons,pct,2895508,2895508,100,13338,District-representative
PSLM 2019-20,District,Punjab,Lahore,Lahore,Demographics,Population (extrapolated),persons,pct,11095051,11095051,100,29846,District-representative
PSLM 2019-20,District,Punjab,Lahore,Nankana Sahib,Demographics,Population (extrapolated),persons,pct,1107753,1107753,100,5595,District-representative
